"Seneste: Tid (s)";"Seneste: Position (m)";"Seneste: Hastighed (m/s)";"Seneste: Acceleration (m/s²)"
0,05;2,0567995;0,025725;-0,124824475309
0,1;2,0581715;0,02100875;-0,16680492284
0,15;2,059372;0,0121765;-0,230937453704
0,2;2,0598865;-0,00352527777778;-0,324087361111
0,25;2,058343;-0,0151491666667;-0,58140087963
0,3;2,058343;-0,0344905555556;-1,35034018519
0,35;2,0592005;-0,145203333333;-2,13205200617
0,4;2,045309;-0,274685833333;-2,38025061728
0,45;2,033304;-0,434466666667;-1,80408472222
0,5;1,9909435;-0,421508888889;-1,74167777778
0,55;1,9991755;-0,535175277778;-2,88485231481
0,6;1,9456675;-0,790519722222;-2,7183279321
0,65;1,9065655;-0,826344166667;-2,16058240741
0,7;1,869693;-0,97069;-2,02931080247
0,75;1,80761;-1,05939361111;-1,35013904321
0,8;1,761991;-1,11636972222;-0,524451234568
0,85;1,6935625;-1,11293972222;0,227290432099
0,9;1,647086;-1,04986583333;0,0209081790123
0,95;1,5913485;-1,05091388889;-1,26952345679
1;1,549331;-1,18554138889;-2,31249753086
1,05;1,4757575;-1,37247638889;-1,63449027778
1,1;1,403556;-1,40182194444;0,123014197531
1,15;1,330497;-1,32550444444;1,37173533951
1,2;1,271158;-1,22165166667;1,71992268519
1,25;1,2099325;-1,143905;1,53863024691
1,3;1,15248;-1,02366444444;0,457015740741
1,35;1,115093;-1,04548305556;-1,42588487654
1,4;1,058841;-1,25423666667;-1,76306234568
1,45;0,9784075;-1,29091861111;-0,799539351852
1,5;0,9266145;-1,27205361111;-0,588710802469
1,55;0,8600725;-1,36332972222;0,00105864197529
1,6;0,7839265;-1,34894277778;2,49368410494
1,65;0,715155;-1,16934416667;8,05690061728
1,7;0,678797;-0,925051944444;22,0397614198
1,75;0,5980205;0,410837777778;40,871678858
1,8;0,5541165;4,0928475;33,8875530864
1,85;0,9386195;7,7612325;-39,9284817901
1,9;1,9751655;0,267254166667;-108,067496142
1,95;1,127784;-9,90221944444;-50,739333642
2;0,270284;-7,4268075;60,6058239198
2,05;0,228095;-0,580622777778;114,695706481
2,1;0,2056285;7,03416777778;100,421242747
2,15;0,976178;12,6566047222;19,3639908951
2,2;1,966762;8,89427583333;-59,7389020062
2,25;1,967105;2,75772;-65,9879597222
2,3;1,984941;0,672375277778;-35,300575463
2,35;1,981511;0,0646936111111;-12,8437091049
2,4;1,9899145;0,0286786111111;-3,2302025
2,45;1,987342;-0,0504019444444;-0,652663364198
2,5;1,977738;-0,00676472222222;0,14749
2,55;1,9878565;0,0166355;-0,25940962963
2,6;1,9847695;-0,0392544444444;-0,584894398148
2,65;1,980139;-0,0693622222222;-0,65728962963
