"Seneste: Tid (s)";"Seneste: Position (m)";"Seneste: Hastighed (m/s)";"Seneste: Acceleration (m/s²)"
0,05;1,8880435;0,155112222222;-0,887607777778
0,1;1,8959325;0,127005277778;-1,23399013889
0,15;1,9058795;0,0475626666667;-1,51755268519
0,2;1,9031355;-0,0681236111111;-1,09002012346
0,25;1,8931885;-0,0850830555556;-0,230551049383
0,3;1,8925025;-0,0572619444444;0,0817165740741
0,35;1,88993;-0,0603108333333;0,0611365740741
0,4;1,8863285;-0,0621211111111;0,15821404321
0,45;1,8825555;-0,046305;0,301130709877
0,5;1,882041;-0,0306794444444;0,439601080247
0,55;1,8791255;-0,00609777777778;0,608613271605
0,6;1,8801545;0,0391591666667;0,589028395062
0,65;1,884099;0,0652652777778;0,341623765432
0,7;1,8877005;0,0701244444444;0,163666049383
0,75;1,891302;0,0692669444444;0,276887808642
0,8;1,895075;0,0794616666667;0,626610185185
0,85;1,895761;0,131578611111;0,805997067901
0,9;1,9034785;0,254582222222;-0,732633179012
0,95;1,939665;0,0789852777778;-3,26029969136
1;1,9038215;-0,0843208333333;-5,8479382716
1,05;1,9281745;-0,284785277778;-11,0508459877
1,1;1,936921;-1,48985861111;-9,48215030864
1,15;1,7470705;-1,88745277778;2,42910694444
1,2;1,670753;-1,08778638889;9,69371990741
1,25;1,587061;0,445518888889;-5,90918070988
1,3;1,925259;-1,52149083333;-23,8025061728
1,35;1,4452305;-3,73793777778;-10,9459345679
1,4;1,353821;-2,67158888889;4,66564691358
1,45;1,2356575;-2,32944638889;5,35974552469
1,5;1,1396175;-2,11469027778;3,59636558642
1,55;1,0212825;-2,05314083333;1,95330030864
1,6;0,931931;-1,94042722222;1,1790095679
1,65;0,833833;-1,94471472222;0,688381944444
1,7;0,7328195;-1,87821083333;0,389103858025
1,75;0,650328;-1,8925025;0,0820447530864
1,8;0,543998;-1,91746527778;1,68292314815
1,85;0,455847;-1,89154972222;8,93806126543
1,9;0,358778;-1,59895166667;29,1164125
1,95;0,254849;0,238194444444;57,7362160494
2;0,181447;4,95158611111;66,523262037
2,05;0,66885;10,7421883333;9,66471311728
2,1;1,929718;5,15166944444;-36,9095524691
2,15;0,929873;3,06251361111;-17,0067128086
2,2;1,935206;5,52382444444;-25,2205994444
2,25;1,91737;1,2013575;-40,4621114506
2,3;1,8990195;-0,387399444444;-26,6202511728
2,35;1,8163565;-1,287279;-14,619390463
2,4;1,7583895;-1,42973833333;-6,5566620216
2,45;1,672125;-1,59552166667;-4,02766691358
